Day or Night?_2013,State,Date_2013,Race_2013,Vehicle Type_2013,From Where_2013,To Where_2013,Trip distance_2013,Alcohol Today_2013,Age Range_2013,Zipcode_2013,Education Level_2013,Employed_2013,Blood Alcohol Content_2013
1,CA,6/7/2013 14:07,9,Car,Work,Own home,20-Nov,No,43.0,92805.0,High school graduate,Employed Full-time,0
1,CA,6/7/2013 14:29,1,SUV/ Crossover,Work,Own home,More than 20,,49.0,92805.0,Some college - no degree,Employed Full-time,0
1,CA,6/7/2013 14:33,2,Car,Work,Work,Did not answer,No,34.0,92626.0,Some college - no degree,Employed Full-time,#NULL!
1,CA,6/7/2013 15:11,7,Car,Work,Own home,20-Nov,No,27.0,90706.0,9th - 11th grade,Employed Full-time,#NULL!
1,CA,6/7/2013 15:34,7,SUV/ Crossover,Work,Work,20-Nov,No,59.0,90630.0,Some college - no degree,Employed Full-time,#NULL!
2,CA,6/7/2013 22:30,7,Car,Own home,Own home,0-5,,21.0,92806.0,High school graduate,Employed Part-time,#NULL!
2,CA,6/7/2013 22:59,1,Car,Other,Own home,0-5,No,33.0,92865.0,Some college - no degree,Employed Part-time,0
2,CA,6/7/2013 23:24,1,Car,Other,Own home,20-Nov,No,26.0,92806.0,Bachelor's degree,Employed Full-time,0
2,CA,6/7/2013 23:44,4,Van,Sport or rec facility/park,Own home,More than 20,,43.0,63385.0,Some college - no degree,Unemployed,0
2,CA,6/8/2013 0:09,2,Car,Own home,Own home,More than 20,No,35.0,92555.0,Some college - no degree,Employed Full-time,#NULL!
4,CA,6/8/2013 22:24,7,Car,Own home,Someone else's home,10-Jun,No,22.0,92807.0,Some college - no degree,Employed Full-time,#NULL!
4,CA,6/8/2013 22:49,7,Pickup,Someone else's home,Own home,More than 20,No,46.0,92804.0,None - 8th grade,Employed Full-time,0
4,CA,6/8/2013 23:09,7,Car,"Bar, tavern, club",Own home,10-Jun,No,23.0,92869.0,Some college - no degree,Employed Part-time,0
4,CA,6/8/2013 23:38,7,SUV/ Crossover,School/church,Own home,10-Jun,,30.0,92804.0,High school graduate,Employed Full-time,0
4,CA,6/9/2013 0:01,9,Car,Someone else's home,Own home,0-5,No,20.0,92801.0,Some college - no degree,Unemployed,0
5,CA,6/9/2013 1:35,3,Car,Someone else's home,Own home,0-5,No,22.0,90630.0,Some college - no degree,Employed Part-time,0
5,CA,6/9/2013 1:53,1,Car,Someone else's home,Own home,10-Jun,,24.0,92832.0,9th - 11th grade,Employed Full-time,0
5,CA,6/9/2013 2:12,7,Car,School/church,Own home,More than 20,,25.0,90706.0,Some college - no degree,Employed Full-time,0
5,CA,6/9/2013 2:32,3,Car,Someone else's home,Own home,10-Jun,No,21.0,92835.0,Bachelor's degree,Employed Part-time,#NULL!
5,CA,6/9/2013 2:52,7,SUV/ Crossover,Work,Own home,10-Jun,,37.0,90631.0,High school graduate,Employed Full-time,0
5,CA,6/9/2013 3:15,7,Minivan,Restaurant/eating place,Own home,10-Jun,,37.0,92706.0,High school graduate,Employed Full-time,#NULL!
1,IN,9/20/2013 10:57,2,Car,School/church,Own home,20-Nov,No,60.0,46407.0,High school graduate,Retired,0
1,IN,9/20/2013 11:00,#NULL!,Pickup,,,,,,,,,#NULL!
1,IN,9/20/2013 11:07,1,Pickup,Work,Work,More than 20,No,48.0,46307.0,High school graduate,Employed Full-time,#NULL!
1,IN,9/20/2013 11:27,2,Car,Own home,Someone else's home,10-Jun,No,69.0,46408.0,Some college - no degree,Unemployed,0
1,IN,9/20/2013 11:41,8,Pickup,Someone else's home,Own home,0-5,No,59.0,46408.0,High school graduate,Employed Part-time,0
1,IN,9/20/2013 11:55,1,Van,Own home,Own home,0-5,No,51.0,46408.0,High school graduate,On Disability,0
1,IN,9/20/2013 12:10,2,Car,Own home,Own home,0-5,No,26.0,46410.0,High school graduate,Homemaker,0
1,IN,9/20/2013 12:24,1,Minivan,Own home,Store or gas station,0-5,No,45.0,46408.0,Some college - no degree,Employed Full-time,0
2,IN,9/20/2013 22:11,1,Car,Sport or rec facility/park,Own home,10-Jun,No,40.0,46311.0,Master's degree,Employed Full-time,#NULL!
2,IN,9/20/2013 22:32,1,SUV/ Crossover,Restaurant/eating place,Own home,20-Nov,Yes,74.0,46303.0,High school graduate,Retired,0
2,IN,9/20/2013 22:44,1,SUV/ Crossover,Restaurant/eating place,Own home,20-Nov,No,36.0,46303.0,Bachelor's degree,Employed Full-time,0
2,IN,9/20/2013 23:11,1,Car,Restaurant/eating place,Own home,More than 20,Yes,64.0,46322.0,Some college - no degree,Employed Full-time,0
2,IN,9/20/2013 23:29,1,SUV/ Crossover,Other,Own home,10-Jun,No,63.0,46311.0,Bachelor's degree,Employed Full-time,#NULL!
2,IN,9/20/2013 23:42,1,SUV/ Crossover,Sport or rec facility/park,Own home,0-5,No,42.0,46311.0,Bachelor's degree,Employed Full-time,#NULL!
2,IN,9/20/2013 23:51,1,Car,Work,Own home,More than 20,,17.0,46356.0,Some college - no degree,Employed Part-time,#NULL!
3,IN,9/21/2013 1:39,1,SUV/ Crossover,Work,Someone else's home,More than 20,No,26.0,46327.0,Associate's degree,Employed Full-time,#NULL!
3,IN,9/21/2013 1:53,1,Car,Own home,Work,10-Jun,No,52.0,46307.0,Associate's degree,Employed Full-time,0
3,IN,9/21/2013 2:09,1,Car,Work,Own home,20-Nov,No,21.0,46307.0,Some college - no degree,Employed Full-time,#NULL!
3,IN,9/21/2013 2:28,1,Car,Someone else's home,Own home,More than 20,,17.0,46319.0,High school graduate,Unemployed,#NULL!
3,IN,9/21/2013 2:44,1,Car,"Bar, tavern, club",Own home,More than 20,No,34.0,46375.0,Master's degree,Employed Full-time,#NULL!
3,IN,9/21/2013 3:08,1,Car,Other,Someone else's home,20-Nov,No,24.0,60411.0,High school graduate,Employed Part-time,0
4,IN,9/21/2013 22:25,1,Car,Restaurant/eating place,Own home,More than 20,No,56.0,46385.0,9th - 11th grade,Homemaker,0
4,IN,9/21/2013 22:33,1,Pickup,Someone else's home,Someone else's home,10-Jun,,17.0,46368.0,9th - 11th grade,Unemployed,#NULL!
4,IN,9/21/2013 22:46,1,Car,Work,Someone else's home,More than 20,No,21.0,46307.0,Some college - no degree,Employed Full-time,#NULL!
4,IN,9/21/2013 23:00,1,Pickup,Someone else's home,Own home,20-Nov,Yes,41.0,46383.0,Some college - no degree,Employed Full-time,#NULL!
4,IN,9/21/2013 23:14,1,Car,Other,Someone else's home,More than 20,,18.0,46383.0,Some college - no degree,Employed Part-time,#NULL!
4,IN,9/21/2013 23:27,1,Car,Other,Own home,20-Nov,Yes,21.0,46385.0,Associate's degree,Employed Full-time,#NULL!
4,IN,9/21/2013 23:37,1,Minivan,Work,Own home,More than 20,No,21.0,46385.0,Associate's degree,Employed Part-time,#NULL!
5,IN,9/22/2013 1:15,1,Car,Someone else's home,Own home,More than 20,,18.0,46307.0,9th - 11th grade,Unemployed,#NULL!
5,IN,9/22/2013 1:30,2,Car,Restaurant/eating place,Own home,10-Jun,No,30.0,46375.0,Bachelor's degree,Employed Full-time,0
5,IN,9/22/2013 1:40,1,Pickup,Other,Someone else's home,0-5,No,21.0,46410.0,Some college - no degree,Employed Part-time,#NULL!
5,IN,9/22/2013 2:07,1,Car,Someone else's home,"Bar, tavern, club",10-Jun,No,49.0,40223.0,Some college - no degree,On Disability,0
5,IN,9/22/2013 2:16,2,SUV/ Crossover,"Bar, tavern, club",Own home,20-Nov,No,35.0,60475.0,Associate's degree,Employed Full-time,#NULL!
5,IN,9/22/2013 2:30,1,SUV/ Crossover,Other,Restaurant/eating place,20-Nov,,19.0,46311.0,Some college - no degree,Employed Part-time,#NULL!
5,IN,9/22/2013 2:43,1,Car,Other,Own home,20-Nov,Yes,22.0,38305.0,Some college - no degree,Other __________________________,#NULL!
2,NC,9/6/2013 22:15,1,SUV/ Crossover,Store or gas station,Own home,0-5,Yes,53.0,27539.0,Bachelor's degree,Homemaker,0
2,NC,9/6/2013 22:25,1,SUV/ Crossover,Store or gas station,Own home,10-Jun,No,24.0,27518.0,Bachelor's degree,Employed Full-time,#NULL!
2,NC,9/6/2013 22:36,8,Pickup,Sport or rec facility/park,Own home,More than 20,,19.0,27501.0,High school graduate,Employed Part-time,0
2,NC,9/6/2013 22:50,1,Car,Work,Own home,More than 20,No,24.0,27526.0,Some college - no degree,Employed Full-time,#NULL!
2,NC,9/6/2013 23:01,1,Car,Someone else's home,Own home,More than 20,No,24.0,27539.0,Bachelor's degree,Employed Part-time,0
2,NC,9/6/2013 23:12,8,Car,Work,Own home,20-Nov,No,52.0,27526.0,Some college - no degree,Employed Full-time,0
2,NC,9/6/2013 23:28,1,Car,Sport or rec facility/park,Someone else's home,20-Nov,No,18.0,27511.0,High school graduate,Employed Full-time,0
2,NC,9/6/2013 23:46,1,SUV/ Crossover,Work,Own home,More than 20,No,34.0,27518.0,Doctoral degree,Employed Full-time,#NULL!
3,NC,9/7/2013 1:14,2,Car,Work,Own home,0-5,,17.0,27540.0,9th - 11th grade,Employed Part-time,#NULL!
3,NC,9/7/2013 1:30,1,Car,Restaurant/eating place,Own home,10-Jun,,16.0,27539.0,9th - 11th grade,Unemployed,#NULL!
3,NC,9/7/2013 1:43,8,Car,School/church,Own home,20-Nov,,20.0,27518.0,Some college - no degree,Employed Part-time,#NULL!
3,NC,9/7/2013 1:59,9,Car,Other,Own home,20-Nov,Did not answer,,,Did not answer,Did not answer,#NULL!
3,NC,9/7/2013 2:24,1,Car,Someone else's home,Own home,10-Jun,,42.0,27518.0,Some college - no degree,Employed Full-time,0
3,NC,9/7/2013 2:47,1,Car,"Bar, tavern, club",Own home,More than 20,Yes,22.0,27539.0,High school graduate,Employed Full-time,0
4,NC,9/7/2013 22:15,3,Car,School/church,Own home,More than 20,,21.0,27519.0,Some college - no degree,Unemployed,#NULL!
4,NC,9/7/2013 22:37,1,SUV/ Crossover,Sport or rec facility/park,Own home,20-Nov,No,45.0,27519.0,Bachelor's degree,Employed Full-time,#NULL!
4,NC,9/7/2013 22:51,2,Car,Sport or rec facility/park,Own home,0-5,,54.0,27519.0,Master's degree,Employed Full-time,0
4,NC,9/7/2013 23:11,1,Car,Sport or rec facility/park,Own home,10-Jun,No,41.0,27519.0,Associate's degree,Employed Full-time,0
4,NC,9/7/2013 23:21,1,Car,Someone else's home,Own home,10-Jun,,54.0,27511.0,Bachelor's degree,Employed Full-time,0
4,NC,9/7/2013 23:36,1,Car,Work,Own home,10-Jun,No,21.0,27511.0,Some college - no degree,Employed Full-time,0
4,NC,9/7/2013 23:48,3,Car,Own home,Sport or rec facility/park,10-Jun,,37.0,27560.0,Master's degree,Employed Full-time,0
5,NC,9/8/2013 1:20,#NULL!,Car,,,,,,,,,#NULL!
5,NC,9/8/2013 1:39,1,SUV/ Crossover,Other,Own home,More than 20,No,30.0,27502.0,Associate's degree,Employed Part-time,0
5,NC,9/8/2013 2:01,8,Car,Work,Own home,More than 20,No,23.0,27513.0,Some college - no degree,Employed Full-time,0
5,NC,9/8/2013 2:18,2,Car,"Bar, tavern, club",Own home,20-Nov,Yes,24.0,27513.0,Bachelor's degree,Employed Full-time,0
5,NC,9/8/2013 2:30,1,Car,"Bar, tavern, club",Own home,10-Jun,No,27.0,27513.0,Associate's degree,Unemployed,0
5,NC,9/8/2013 2:50,2,Car,Restaurant/eating place,Own home,10-Jun,No,21.0,27606.0,Some college - no degree,Employed Part-time,0
2,NJ,9/27/2013 22:10,1,Car,Own home,Someone else's home,0-5,No,20.0,17105.0,High school graduate,Employed Part-time,0
2,NJ,9/27/2013 22:33,2,Car,Work,Own home,10-Jun,,20.0,17108.0,High school graduate,Employed Full-time,0
2,NJ,9/27/2013 23:02,9,SUV/ Crossover,Work,Own home,10-Jun,No,33.0,7175.0,Some college - no degree,Employed Full-time,#NULL!
2,NJ,9/27/2013 23:39,1,Car,Someone else's home,Own home,10-Jun,No,44.0,7165.0,High school graduate,On Disability,0
2,NJ,9/27/2013 23:55,1,Car,Someone else's home,Own home,0-5,,46.0,7105.0,High school graduate,Employed Full-time,0
3,NJ,9/28/2013 1:40,1,SUV/ Crossover,Work,Own home,10-Jun,No,47.0,7114.0,High school graduate,Employed Full-time,0
3,NJ,9/28/2013 1:55,2,Car,Other,Own home,0-5,No,50.0,7112.0,Professional degree,Employed Full-time,0
3,NJ,9/28/2013 2:24,2,SUV/ Crossover,Own home,"Bar, tavern, club",20-Nov,No,24.0,7103.0,Some college - no degree,Other __________________________,0
4,NJ,9/28/2013 22:15,2,Car,Own home,Someone else's home,More than 20,,54.0,7721.0,Master's degree,Employed Full-time,0
4,NJ,9/28/2013 22:33,2,SUV/ Crossover,Restaurant/eating place,Other,More than 20,Yes,26.0,7112.0,Associate's degree,Employed Full-time,0
4,NJ,9/28/2013 22:56,2,SUV/ Crossover,Store or gas station,Other,20-Nov,No,47.0,10163.0,Some college - no degree,Employed Full-time,0
4,NJ,9/28/2013 23:12,2,SUV/ Crossover,Restaurant/eating place,Own home,20-Nov,Yes,45.0,7112.0,Master's degree,Employed Full-time,0
4,NJ,9/28/2013 23:28,2,Car,Store or gas station,Someone else's home,0-5,No,27.0,7107.0,Bachelor's degree,Other __________________________,0
4,NJ,9/28/2013 23:40,2,SUV/ Crossover,Own home,Store or gas station,0-5,,31.0,7112.0,Bachelor's degree,Employed Full-time,0
4,NJ,9/28/2013 23:53,2,Car,Work,Own home,20-Nov,No,40.0,7088.0,Some college - no degree,Employed Full-time,#NULL!
5,NJ,9/29/2013 1:19,2,Car,Someone else's home,Own home,0-5,No,33.0,7102.0,High school graduate,Employed Full-time,0
5,NJ,9/29/2013 1:42,2,Car,Work,Own home,10-Jun,No,33.0,7103.0,Some college - no degree,Employed Full-time,0
5,NJ,9/29/2013 2:04,2,SUV/ Crossover,Other,Someone else's home,10-Jun,Yes,31.0,7111.0,High school graduate,Employed Part-time,0
5,NJ,9/29/2013 2:41,6,Car,Someone else's home,Own home,20-Nov,No,30.0,7081.0,Professional degree,Employed Full-time,0
1,NY,8/23/2013 13:43,1,SUV/ Crossover,Someone else's home,Own home,0-5,,19.0,14580.0,Some college - no degree,Employed Part-time,#NULL!
1,NY,8/23/2013 13:50,1,Car,Own home,Someone else's home,20-Nov,No,72.0,14617.0,High school graduate,Retired,#NULL!
1,NY,8/23/2013 14:03,1,Car,Store or gas station,Someone else's home,20-Nov,No,76.0,14450.0,High school graduate,Retired,0
1,NY,8/23/2013 14:24,1,Minivan,Someone else's home,Own home,10-Jun,No,73.0,14580.0,Some college - no degree,Employed Part-time,0
1,NY,8/23/2013 14:30,1,Minivan,Own home,Own home,0-5,,82.0,14580.0,Bachelor's degree,Retired,#NULL!
1,NY,8/23/2013 14:44,1,Minivan,Own home,Other,More than 20,No,21.0,14580.0,Some college - no degree,Employed Part-time,#NULL!
1,NY,8/23/2013 15:01,1,SUV/ Crossover,Store or gas station,Own home,20-Nov,,61.0,14589.0,Some college - no degree,Retired,0
1,NY,8/23/2013 15:14,1,Car,Work,Own home,0-5,No,46.0,14580.0,Associate's degree,Employed Full-time,0
1,NY,8/23/2013 15:26,1,SUV/ Crossover,Someone else's home,Own home,0-5,,55.0,14580.0,Associate's degree,On Disability,0
2,NY,8/23/2013 22:15,1,Car,Someone else's home,Own home,10-Jun,No,48.0,14580.0,Master's degree,Employed Full-time,0
2,NY,8/23/2013 22:29,1,Car,Someone else's home,Own home,10-Jun,No,31.0,14580.0,Bachelor's degree,Employed Full-time,#NULL!
2,NY,8/23/2013 22:42,1,Car,Own home,Someone else's home,10-Jun,No,20.0,14580.0,Some college - no degree,Employed Part-time,0
2,NY,8/23/2013 22:45,#NULL!,Car,,,,,,,,,#NULL!
2,NY,8/23/2013 22:55,1,Pickup,Own home,Own home,10-Jun,,20.0,14580.0,Some college - no degree,Employed Full-time,0
2,NY,8/23/2013 23:09,3,Car,Work,Own home,More than 20,No,29.0,14580.0,Some college - no degree,Employed Full-time,#NULL!
2,NY,8/23/2013 23:20,1,Car,Own home,Own home,More than 20,No,47.0,14580.0,Master's degree,Other __________________________,0
2,NY,8/23/2013 23:36,1,SUV/ Crossover,Work,Own home,0-5,No,36.0,14580.0,Bachelor's degree,Employed Full-time,0
2,NY,8/23/2013 23:49,2,Car,Own home,Work,20-Nov,No,32.0,14619.0,Some college - no degree,Employed Full-time,0
2,NY,8/23/2013 23:50,#NULL!,Car,,,,,,,,,#NULL!
3,NY,8/24/2013 1:14,8,Car,Other,Other,0-5,No,40.0,14621.0,Master's degree,Employed Part-time,#NULL!
3,NY,8/24/2013 1:23,1,Car,"Bar, tavern, club",Own home,10-Jun,Yes,31.0,11361.0,Bachelor's degree,Employed Full-time,#NULL!
3,NY,8/24/2013 1:52,1,Car,Someone else's home,Own home,0-5,Yes,25.0,14580.0,Bachelor's degree,Employed Full-time,#NULL!
3,NY,8/24/2013 2:12,1,Car,Own home,Someone else's home,10-Jun,No,55.0,14616.0,High school graduate,Employed Full-time,0
3,NY,8/24/2013 2:15,#NULL!,Car,,,,,,,,,#NULL!
3,NY,8/24/2013 2:35,1,Car,Restaurant/eating place,Own home,10-Jun,No,22.0,14580.0,Some college - no degree,Employed Full-time,0
3,NY,8/24/2013 2:48,1,Car,Work,Own home,More than 20,No,28.0,14624.0,Some college - no degree,Employed Full-time,#NULL!
4,NY,8/24/2013 22:39,1,Car,Own home,Restaurant/eating place,0-5,No,29.0,14580.0,High school graduate,On Disability,#NULL!
4,NY,8/24/2013 22:41,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
4,NY,8/24/2013 23:03,1,Car,Other,Own home,10-Jun,No,47.0,14580.0,Associate's degree,Employed Full-time,0
4,NY,8/24/2013 23:15,1,Car,Someone else's home,Own home,0-5,No,27.0,14580.0,Bachelor's degree,Employed Full-time,#NULL!
4,NY,8/24/2013 23:29,1,Minivan,Someone else's home,Someone else's home,0-5,No,19.0,14580.0,Some college - no degree,Unemployed,0
4,NY,8/24/2013 23:34,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
4,NY,8/24/2013 23:47,1,Car,Someone else's home,Someone else's home,0-5,Yes,24.0,14580.0,Associate's degree,Employed Full-time,#NULL!
4,NY,8/24/2013 23:59,1,SUV/ Crossover,Restaurant/eating place,Own home,10-Jun,,32.0,14580.0,Some college - no degree,Other __________________________,0
1,PA,6/14/2013 10:21,1,Car,Store or gas station,Own home,0-5,No,65.0,15068.0,High school graduate,Retired,0
1,PA,6/14/2013 10:38,1,Car,Own home,Sport or rec facility/park,20-Nov,No,63.0,15613.0,Some college - no degree,Retired,0
1,PA,6/14/2013 10:57,1,Car,Someone else's home,Own home,10-Jun,,64.0,15024.0,Associate's degree,Retired,0
1,PA,6/14/2013 11:15,1,Pickup,Work,Work,More than 20,No,42.0,15065.0,High school graduate,Employed Full-time,#NULL!
1,PA,6/14/2013 11:32,1,SUV/ Crossover,Own home,Someone else's home,10-Jun,No,64.0,15068.0,High school graduate,Employed Part-time,0
2,PA,6/14/2013 22:19,1,SUV/ Crossover,Someone else's home,Own home,20-Nov,No,33.0,15239.0,Bachelor's degree,Employed Full-time,0
2,PA,6/14/2013 22:38,1,Car,Restaurant/eating place,Someone else's home,20-Nov,No,28.0,15601.0,Master's degree,Employed Full-time,#NULL!
2,PA,6/14/2013 22:56,1,Car,Someone else's home,Own home,More than 20,No,27.0,15681.0,High school graduate,Homemaker,0
2,PA,6/14/2013 23:11,#NULL!,Car,,,,,,,,,#NULL!
2,PA,6/14/2013 23:23,#NULL!,Car,,,,,,,,,#NULL!
2,PA,6/14/2013 23:45,#NULL!,Car,,,,,,,,,0
4,PA,6/15/2013 22:32,1,SUV/ Crossover,Someone else's home,Own home,20-Nov,No,63.0,15613.0,Bachelor's degree,Retired,0
4,PA,6/15/2013 22:44,1,Car,Own home,Someone else's home,10-Jun,,16.0,15239.0,9th - 11th grade,Employed Full-time,#NULL!
4,PA,6/15/2013 22:45,2,Car,Someone else's home,Own home,More than 20,No,42.0,14690.0,Master's degree,Employed Full-time,0
4,PA,6/15/2013 23:17,1,SUV/ Crossover,Someone else's home,Own home,More than 20,No,53.0,15701.0,Master's degree,Employed Full-time,0
4,PA,6/15/2013 23:32,1,SUV/ Crossover,Hotel/motel,Own home,More than 20,No,27.0,15681.0,Associate's degree,Employed Full-time,0
4,PA,6/15/2013 23:48,1,SUV/ Crossover,Work,Own home,More than 20,No,32.0,15613.0,Associate's degree,Employed Full-time,0
5,PA,6/16/2013 1:52,1,Car,Store or gas station,Own home,0-5,No,18.0,15147.0,High school graduate,Employed Part-time,#NULL!
5,PA,6/16/2013 2:01,1,Car,Work,Own home,10-Jun,,34.0,15147.0,High school graduate,Employed Full-time,0
5,PA,6/16/2013 2:44,1,Pickup,Someone else's home,Someone else's home,10-Jun,Yes,55.0,40383.0,Some college - no degree,Employed Full-time,#NULL!
5,PA,6/16/2013 3:22,1,Car,Someone else's home,Own home,More than 20,,82.0,15239.0,High school graduate,Retired,0
1,TN,6/28/2013 14:52,2,SUV/ Crossover,Store or gas station,Other,More than 20,No,48.0,38138.0,Master's degree,Employed Part-time,0
1,TN,6/28/2013 14:58,1,Car,Work,Own home,10-Jun,No,36.0,38103.0,Master's degree,Employed Full-time,0
1,TN,6/28/2013 15:33,1,Car,Own home,Store or gas station,0-5,No,56.0,38104.0,Associate's degree,Retired,0
1,TN,6/28/2013 15:43,2,Pickup,Work,Own home,20-Nov,,23.0,38114.0,Some college - no degree,Employed Full-time,0
1,TN,6/28/2013 15:58,1,Car,Own home,Work,More than 20,No,64.0,38139.0,Bachelor's degree,Employed Full-time,0
1,TN,6/28/2013 16:17,2,Car,Own home,Someone else's home,More than 20,No,37.0,38116.0,9th - 11th grade,Unemployed,0
1,TN,6/28/2013 16:32,2,Car,Own home,Store or gas station,10-Jun,No,26.0,38127.0,High school graduate,Employed Full-time,0
3,TN,6/29/2013 1:57,2,Car,Own home,Someone else's home,20-Nov,No,21.0,38127.0,9th - 11th grade,Employed Full-time,0
3,TN,6/29/2013 2:13,2,Car,Someone else's home,Own home,20-Nov,,52.0,38118.0,Associate's degree,On Disability,0
3,TN,6/29/2013 2:32,2,Car,Sport or rec facility/park,Own home,More than 20,No,46.0,72301.0,Some college - no degree,Employed Part-time,0
3,TN,6/29/2013 2:53,2,Car,"Bar, tavern, club",Someone else's home,10-Jun,No,48.0,38126.0,High school graduate,On Disability,0
3,TN,6/29/2013 3:08,2,Car,Other,Someone else's home,0-5,Yes,50.0,38127.0,Some college - no degree,On Disability,#NULL!
4,TN,6/29/2013 22:20,2,Pickup,Sport or rec facility/park,Own home,More than 20,,38.0,72327.0,Bachelor's degree,Retired,0
4,TN,6/29/2013 22:34,2,Car,Sport or rec facility/park,Own home,20-Nov,No,51.0,38016.0,Associate's degree,Employed Full-time,#NULL!
4,TN,6/29/2013 22:47,2,Car,Restaurant/eating place,Own home,20-Nov,,50.0,38134.0,High school graduate,Employed Full-time,0
4,TN,6/29/2013 23:04,1,Car,Sport or rec facility/park,Someone else's home,10-Jun,No,63.0,38111.0,Master's degree,Employed Full-time,0
4,TN,6/29/2013 23:12,2,Car,Restaurant/eating place,Own home,20-Nov,,26.0,38128.0,High school graduate,Employed Full-time,0
4,TN,6/29/2013 23:26,1,Car,Hotel/motel,Other,20-Nov,No,28.0,85712.0,Bachelor's degree,Employed Full-time,0
4,TN,6/29/2013 23:33,2,Car,Someone else's home,Own home,10-Jun,,20.0,38127.0,Some college - no degree,Employed Part-time,0
4,TN,6/29/2013 23:46,2,Car,Restaurant/eating place,Own home,0-5,,38.0,38108.0,Associate's degree,Employed Full-time,0
5,TN,6/30/2013 1:46,1,Minivan,Someone else's home,Own home,More than 20,No,29.0,38635.0,Associate's degree,Employed Full-time,0
5,TN,6/30/2013 2:04,2,Car,Someone else's home,Hotel/motel,10-Jun,Yes,26.0,38115.0,Some college - no degree,Unemployed,0
5,TN,6/30/2013 2:28,2,SUV/ Crossover,Someone else's home,Own home,10-Jun,No,22.0,30118.0,High school graduate,Unemployed,0
5,TN,6/30/2013 2:43,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
5,TN,6/30/2013 3:02,2,SUV/ Crossover,"Bar, tavern, club",Own home,More than 20,No,28.0,38801.0,Bachelor's degree,Unemployed,0
1,FL,9/13/2013 13:42,#NULL!,SUV/ Crossover,,,,,,,,,#NULL!
1,FL,9/13/2013 13:55,1,Car,Own home,Store or gas station,0-5,No,53.0,33458.0,Bachelor's degree,Employed Full-time,0
1,FL,9/13/2013 14:09,1,Car,Own home,Work,10-Jun,No,47.0,33446.0,Some college - no degree,Homemaker,#NULL!
